filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-exchange_taiwan,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=6,unfiltered-month=8,unfiltered-month=9,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=G,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=H,unfiltered-Holiday_SouthKorea=R,unfiltered-max_signal=0,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y,predicted_y,difference,percentage_diff
-1.156445,-0.262314,-3.753575,0.430447,-0.786165,-0.851293,-1.120627,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,122732,118600.38436324787,4131.615636752133,3.3663719622854122
-1.115792,-0.262314,-1.882445,0.430447,-0.840005,-0.851293,-1.108597,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,175640,177068.60001757505,-1428.6000175750523,-0.813368263251567
-0.973508,-0.262314,-0.635025,0.418657,-0.849731,-0.851293,-1.028398,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,141937,127107.30733738726,14829.692662612739,10.448080953248793
-0.709265,-0.262314,-0.724126,0.418657,-0.828195,-1.020067,-1.136667,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,107806,115000.34971577766,-7194.349715777658,-6.67342236589583
-0.526327,-0.262314,-0.189517,0.418657,-0.719821,-0.912665,-1.060478,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,99305,106228.13200767644,-6923.132007676439,-6.9715845200910715
-0.465348,-0.262314,-0.278619,0.418657,-0.67397,-0.78992,-1.008349,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,107754,108622.96367262569,-868.9636726256867,-0.8064328680380187
-0.56698,-0.262314,-0.011314,0.418657,-0.791028,-0.74389,-1.112607,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,113191,115563.18279960079,-2372.1827996007924,-2.095734466168505
-0.627959,-0.262314,-0.456822,0.418657,-0.896276,-0.820606,-1.196816,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,129325,125061.44936593469,4263.550634065308,3.2967721894956954
-0.770244,-0.262314,-0.902329,0.418657,-0.849731,-0.820606,-1.192806,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,185770,179061.07990018354,6708.92009981646,3.6114120147582813
-1.258077,-0.262314,-0.99143,0.418657,-0.849731,-0.805263,-1.180776,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,152968,135545.67709167706,17422.322908322938,11.389521277863956
-1.176772,-0.262314,-0.545923,0.418657,-0.884118,-0.805263,-1.385284,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,120950,119371.22202706605,1578.7779729339527,1.3053145704290638
-0.79057,-0.262314,-0.278619,0.418657,-0.811522,-0.943351,-1.389294,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,109418,108191.0256804058,1226.9743195941992,1.1213642358608267
-0.445021,-0.262314,-0.36772,0.418657,-0.669107,-0.943351,-1.453453,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,112423,110512.2895145592,1910.7104854407953,1.6995725834044593
-1.01416,-0.262314,-0.99143,0.418657,-0.576711,-0.912665,-1.385284,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,114368,119258.22597476718,-4890.225974767178,-4.27586910216772
-1.217424,-0.262314,-1.526039,0.418657,-0.498557,-0.958695,-1.377264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,131365,126942.74818341175,4422.25181658825,3.3663851228167703
-1.827216,-0.262314,-2.417053,0.418657,-0.849731,-0.958695,-1.537662,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,199905,189660.73318255026,10244.266817449738,5.124567578324573
-1.969501,-0.260384,-3.218966,0.418657,-0.849731,-0.943351,-1.381274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,160626,145431.09777265548,15194.902227344515,9.459802415141084
-1.664605,-0.262314,-2.86256,0.418657,-0.456875,-0.851293,-1.437413,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,121408,124820.42788941613,-3412.4278894161253,-2.8107108999539774
-1.339383,-0.262314,-1.61514,0.418657,-0.558302,-0.912665,-1.581772,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,114720,122360.23901177844,-7640.239011778438,-6.659901509569768
-1.197098,-0.262314,-2.773459,0.418657,-0.512451,-1.127469,-1.521622,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125555,124320.50685838485,1234.4931416151521,0.9832289766358585
-1.80689,-0.262314,-3.218966,0.418657,-0.632519,-1.112126,-1.569742,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125729,137686.57313766683,-11957.573137666826,-9.51059273331278
-1.949174,-0.262314,-2.773459,0.418657,-0.69238,-1.08144,-1.333155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,142500,142705.7514897298,-205.75148972979514,-0.14438701033669835
-1.542647,-0.262314,-3.040763,0.418657,-0.849731,-1.08144,-1.373254,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,211150,190419.9815674709,20730.01843252909,9.817673896532838
