filtered-0-typhoon_duration_hours,filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-cpi_composite,filtered-0-cpi_a,filtered-0-cpi_b,filtered-0-cpi_c,filtered-0-gdp,filtered-0-gdp_deflator_index,filtered-0-exchange_mainland,filtered-0-exchange_taiwan,filtered-0-exchange_macausar,filtered-0-exchange_southkorea,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=3,unfiltered-month=4,unfiltered-month=5,unfiltered-month=6,unfiltered-month=7,unfiltered-month=8,unfiltered-month=9,unfiltered-month=10,unfiltered-month=11,unfiltered-month=12,unfiltered-quarter=1,unfiltered-quarter=2,unfiltered-quarter=3,unfiltered-quarter=4,unfiltered-day_of_week=Thursday,unfiltered-day_of_week=Friday,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Sunday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=F,unfiltered-Holiday_China=G,unfiltered-Holiday_China=A,unfiltered-Holiday_China=O,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=C,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=E,unfiltered-Holiday_Taiwan=F,unfiltered-Holiday_Taiwan=G,unfiltered-Holiday_Taiwan=A,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Taiwan=H,unfiltered-Holiday_Macau=Z,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=O,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=E,unfiltered-Holiday_Macau=F,unfiltered-Holiday_Macau=G,unfiltered-Holiday_Macau=H,unfiltered-Holiday_Macau=I,unfiltered-Holiday_Macau=J,unfiltered-Holiday_Macau=K,unfiltered-Holiday_Macau=L,unfiltered-Holiday_Macau=M,unfiltered-Holiday_Macau=N,unfiltered-Holiday_Macau=A,unfiltered-Holiday_Macau=B,unfiltered-Holiday_SouthKorea=Z,unfiltered-Holiday_SouthKorea=P,unfiltered-Holiday_SouthKorea=O,unfiltered-Holiday_SouthKorea=M,unfiltered-Holiday_SouthKorea=L,unfiltered-Holiday_SouthKorea=F,unfiltered-Holiday_SouthKorea=R,unfiltered-Holiday_SouthKorea=S,unfiltered-Holiday_SouthKorea=T,unfiltered-Holiday_SouthKorea=A,unfiltered-Holiday_SouthKorea=B,unfiltered-Holiday_SouthKorea=N,unfiltered-Holiday_US=Z,unfiltered-Holiday_US=D,unfiltered-Holiday_US=E,unfiltered-Holiday_US=F,unfiltered-Holiday_US=G,unfiltered-Holiday_US=H,unfiltered-Holiday_US=I,unfiltered-Holiday_US=J,unfiltered-Holiday_US=K,unfiltered-Holiday_US=A,unfiltered-Holiday_US=B,unfiltered-Holiday_US=C,unfiltered-event_protest=1,unfiltered-days_to_event_marathon=0,unfiltered-days_to_event_marathon=1,unfiltered-days_to_event_marathon=2,unfiltered-days_to_event_marathon=3,unfiltered-days_to_event_creamfields=0,unfiltered-days_to_event_creamfields=1,unfiltered-days_to_event_creamfields=2,unfiltered-days_to_event_creamfields=3,unfiltered-days_to_event_complexcon=0,unfiltered-days_to_event_complexcon=1,unfiltered-days_to_event_complexcon=2,unfiltered-days_to_event_complexcon=3,unfiltered-days_to_event_hksevens=0,unfiltered-days_to_event_hksevens=1,unfiltered-days_to_event_hksevens=2,unfiltered-days_to_event_hksevens=3,unfiltered-days_to_event_clockenflap=0,unfiltered-days_to_event_clockenflap=1,unfiltered-days_to_event_clockenflap=2,unfiltered-days_to_event_clockenflap=3,unfiltered-max_signal=0,unfiltered-max_signal=1,unfiltered-max_signal=3,unfiltered-max_signal=8,unfiltered-max_signal=9,unfiltered-max_signal=10,unfiltered-event_marathon_binarized,unfiltered-event_creamfields_binarized,unfiltered-event_complexcon_binarized,unfiltered-event_hksevens_binarized,unfiltered-event_clockenflap_binarized,unfiltered-typhoon_morning_binarized,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y
-0.190454,0.185097,-0.254438,0.166888,-3.416191,-1.502059,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,3.332288,1.266064,0.102886,2.780589,1.437722,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,334793
-0.190454,-0.302737,-0.242624,0.345091,-3.416191,-1.628842,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,3.318755,1.281407,0.000313,2.780589,1.337473,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,345509
-0.190454,-0.546653,-0.053597,0.434193,-3.416191,-1.724017,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,3.332288,1.342779,-0.10226,2.780589,1.425692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299543
-0.190454,-0.384042,0.068483,-0.011314,-3.416191,-2.015446,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,3.332288,1.342779,-0.10226,2.780589,1.425692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202806
-0.190454,-0.56698,0.064545,1.50341,-3.416191,-2.015446,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,3.332288,1.358123,-0.10226,2.780589,1.417672,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154930
-0.190454,0.16477,-0.262314,-0.011314,-3.416191,-2.015446,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,2.664659,1.266064,-0.050973,2.780589,1.55802,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,281873
-0.190454,0.205423,-0.262314,0.345091,-3.416191,-2.015446,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,2.664659,1.266064,-0.050973,2.780589,1.56203,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199390
-0.190454,0.124118,-0.260384,1.147004,-3.416191,-1.746595,-3.527764,-3.40745,-3.522958,-3.66181,-2.082422,-2.789349,2.26318,0.989887,-0.050973,2.465784,1.61015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147850
-0.190454,1.140437,-0.262314,0.077787,-4.188948,-2.880006,-3.198947,-2.989019,-3.210944,-3.447089,-2.082422,-2.789349,1.983498,0.71371,0.102886,2.465784,1.329453,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253461
-0.190454,1.140437,-0.218995,-0.011314,-4.188948,-2.764338,-3.198947,-2.989019,-3.210944,-3.447089,-2.082422,-2.789349,1.983498,0.71371,0.102886,2.465784,1.329453,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253614
